Country Name,Country Code,Classification Name,Classification Code,Series Name,Series Code,2017 [YR2017]
Guinea-Bissau,GNB,Price level index (World = 100),PX.WL,1111000:RESTAURANTS AND HOTELS,1111000,74.96842444
Guyana,GUY,Price level index (World = 100),PX.WL,1111000:RESTAURANTS AND HOTELS,1111000,65.0297259
Haiti,HTI,Price level index (World = 100),PX.WL,1111000:RESTAURANTS AND HOTELS,1111000,45.17709688
Honduras,HND,Price level index (World = 100),PX.WL,1111000:RESTAURANTS AND HOTELS,1111000,47.09954551
"Hong Kong SAR, China",HKG,Price level index (World = 100),PX.WL,1111000:RESTAURANTS AND HOTELS,1111000,88.62122532
Hungary,HUN,Price level index (World = 100),PX.WL,1111000:RESTAURANTS AND HOTELS,1111000,75.87124652
Iceland,ISL,Price level index (World = 100),PX.WL,1111000:RESTAURANTS AND HOTELS,1111000,232.3741092
India,IND,Price level index (World = 100),PX.WL,1111000:RESTAURANTS AND HOTELS,1111000,42.25045295
Indonesia,IDN,Price level index (World = 100),PX.WL,1111000:RESTAURANTS AND HOTELS,1111000,40.65793514
"Iran, Islamic Rep.",IRN,Price level index (World = 100),PX.WL,1111000:RESTAURANTS AND HOTELS,1111000,74.59729733
Iraq,IRQ,Price level index (World = 100),PX.WL,1111000:RESTAURANTS AND HOTELS,1111000,67.87165927
Ireland,IRL,Price level index (World = 100),PX.WL,1111000:RESTAURANTS AND HOTELS,1111000,151.4466148
Israel,ISR,Price level index (World = 100),PX.WL,1111000:RESTAURANTS AND HOTELS,1111000,176.006179
Italy,ITA,Price level index (World = 100),PX.WL,1111000:RESTAURANTS AND HOTELS,1111000,131.330526
Jamaica,JAM,Price level index (World = 100),PX.WL,1111000:RESTAURANTS AND HOTELS,1111000,62.08681297
Japan,JPN,Price level index (World = 100),PX.WL,1111000:RESTAURANTS AND HOTELS,1111000,129.0561188
Jordan,JOR,Price level index (World = 100),PX.WL,1111000:RESTAURANTS AND HOTELS,1111000,63.75686881
Kazakhstan,KAZ,Price level index (World = 100),PX.WL,1111000:RESTAURANTS AND HOTELS,1111000,67.0570838
Kenya,KEN,Price level index (World = 100),PX.WL,1111000:RESTAURANTS AND HOTELS,1111000,38.81236482
Kiribati,KIR,Price level index (World = 100),PX.WL,1111000:RESTAURANTS AND HOTELS,1111000,..
"Korea, Rep.",KOR,Price level index (World = 100),PX.WL,1111000:RESTAURANTS AND HOTELS,1111000,145.9183321
Kosovo,KSV,Price level index (World = 100),PX.WL,1111000:RESTAURANTS AND HOTELS,1111000,..
Kuwait,KWT,Price level index (World = 100),PX.WL,1111000:RESTAURANTS AND HOTELS,1111000,102.8988468
